StockCode,Description,Total_Demand,Avg_Daily_Demand,Daily_Std,Safety_Stock,Reorder_Point,Recommended_Order_Qty,Forecast_Adj_Demand,Forecast_Reorder_Point,Total_Revenue
21498,RED SPOTS  WRAP ,27147,36.78,67.193607297424,293,550,808,31.23,512,11008.74
21931,JUMBO STORAGE BAG SUKI,26239,35.55,55.49683276989567,242,491,740,30.18,453,48255.8
21981,PACK OF 12 WOODLAND TISSUES ,26115,35.39,690.8823067986252,3016,3264,3511,30.05,3226,6929.429999999999
20724,RED SPOTTY CHARLOTTE BAG,25999,35.23,54.38973500444907,237,484,730,29.91,446,20658.75
20727,LUNCH BAG  BLACK SKULL.,25820,34.99,120.24227931993804,525,770,1015,29.71,733,40586.2
84970S,HANGING HEART ZINC T-LIGHT HOLDER,25767,34.91,62.44569774543938,273,517,762,29.64,480,20113.02
21790,VINTAGE SNAP CARDS,25765,34.91,66.35942973487708,290,534,779,29.64,497,20458.79
37410,BLACK AND WHITE PAISLEY FLOWER MUG,25685,34.8,4770.996566263081,20828,21072,21315,29.54,21035,3019.57
21984,PACK OF 12 PINK PAISLEY TISSUES ,25295,34.28,724.3107463521137,3162,3402,3642,29.1,3366,6922.05
21985,PACK OF 12 HEARTS DESIGN TISSUES ,24938,33.79,266.5071022122081,1163,1400,1636,28.69,1364,8491.519999999999
22423,REGENCY CAKESTAND 3 TIER,24899,33.74,55.1948724238824,241,477,713,28.64,441,286486.3
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,24690,33.46,58.5997573324949,256,490,724,28.41,455,45784.63
84212,"ASSORTED FLOWER COLOUR ""LEIS""",24672,33.43,255.12582450951197,1114,1348,1582,28.38,1313,11764.32
21181,PLEASE ONE PERSON  METAL SIGN,24513,33.22,83.63003977110438,365,598,830,28.2,562,48564.00000000001
21929,JUMBO BAG PINK VINTAGE PAISLEY,24431,33.1,75.25014901242788,329,561,792,28.1,526,43883.88
22383,LUNCHBAG SUKI  DESIGN ,24262,32.88,57.25987741274078,250,480,710,27.91,445,38632.7
21928,JUMBO BAG SCANDINAVIAN PAISLEY,23618,32.0,67.75846633011409,296,520,744,27.17,486,42340.92
47566,PARTY BUNTING,23607,31.99,58.38560424968744,255,479,703,27.16,445,103880.23000000001
20728,LUNCH BAG CARS BLUE,23575,31.94,111.9904231845628,489,713,936,27.12,679,37071.43
84270,ASSTD DESIGN BUBBLE GUM RING,22470,30.45,157.69157250171935,688,901,1114,25.85,869,4634.7
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,22134,29.99,106.62563450962169,465,675,885,25.46,643,17616.12
20668,DISCO BALL CHRISTMAS DECORATION,21496,29.13,165.12568505029108,721,925,1129,24.73,894,2399.8
20726,LUNCH BAG WOODLAND,21115,28.61,108.75121649615609,475,675,876,24.29,645,33333.11
22417,PACK OF 60 SPACEBOY CAKE CASES,21049,28.52,95.60878596332799,417,617,816,24.21,586,10549.99
20971,PINK BLUE FELT CRAFT TRINKET BOX,20859,28.26,165.8254703794692,724,922,1120,23.99,892,23975.69
22629,SPACEBOY LUNCH BOX ,20661,28.0,79.97027801203208,349,545,741,23.77,515,36862.29
22384,LUNCHBAG PINK RETROSPOT,20494,27.77,42.70214089745553,186,380,575,23.58,351,32681.5
21175,GIN + TONIC DIET METAL SIGN,20432,27.69,136.4523653147868,596,790,984,23.51,761,42491.840000000004
20972,PINK CREAM FELT CRAFT TRINKET BOX ,20301,27.51,79.75439642532902,348,541,733,23.36,512,24108.77
21166,COOK WITH WINE METAL SIGN ,19833,26.87,75.17618679068745,328,516,704,22.81,488,37387.49
20713,JUMBO BAG OWLS,19832,26.87,83.44119038401587,364,552,740,22.81,524,35822.62
22355,"CHARLOTTE BAG , SUKI DESIGN",19811,26.84,42.9685031092979,188,376,564,22.79,348,15768.15
72741,GRAND CHOCOLATECANDLE,19727,26.73,78.87735622088708,344,531,718,22.69,503,26508.95
84836,ZINC METAL HEART DECORATION,19715,26.71,55.46634492134127,242,429,616,22.68,401,23815.18
22382,LUNCHBAG SPACEBOY DESIGN ,19679,26.67,37.639306922766416,164,351,537,22.64,322,31485.95
21137,BLACK RECORD COVER FRAME,19629,26.6,129.10551135980646,564,750,936,22.58,722,67209.44
23203,JUMBO BAG DOILEY PATTERNS,19516,26.44,128.4486334053983,561,746,931,22.45,718,37684.38
20719,WOODLAND CHARLOTTE BAG,19288,26.14,48.53492083278758,212,395,578,22.19,367,15235.59
84978,HANGING HEART JAR T-LIGHT HOLDER,19216,26.04,41.533771263043676,181,363,546,22.11,336,22321.06
21231,SWEETHEART CERAMIC TRINKET BOX,18775,25.44,48.53773343069991,212,390,568,21.6,363,22152.0
20914,SET/5 RED SPOTTY LID GLASS BOWLS,18524,25.1,54.813957053596184,239,415,590,21.31,388,50983.880000000005
21094,SET/6 RED SPOTTY PAPER PLATES,18278,24.77,76.20242148318027,333,506,680,21.03,480,13455.18
84598,BOYS ALPHABET IRON ON PATCHES,18241,24.72,516.5669543762708,2255,2428,2601,20.99,2402,3542.61
22189,CREAM HEART CARD HOLDER,18113,24.54,208.84465876137688,912,1084,1256,20.83,1058,52627.29
20975,12 PENCILS SMALL TUBE RED SPOTTY,18017,24.41,107.46962528656202,469,640,811,20.72,614,11452.25
22470,HEART OF WICKER LARGE,17866,24.21,102.28864853489075,447,616,786,20.55,591,52157.68000000001
21733,RED HANGING HEART T-LIGHT HOLDER,17643,23.91,63.44545170317492,277,444,612,20.3,419,50010.85
84692,BOX OF 24 COCKTAIL PARASOLS,17637,23.9,59.65249438961325,260,427,595,20.29,402,7101.35
22630,DOLLY GIRL LUNCH BOX,17623,23.88,82.16362826292011,359,526,693,20.27,501,31443.489999999998
21326,AGED GLASS SILVER T-LIGHT HOLDER,17578,23.82,64.81144981760515,283,450,616,20.22,425,10697.300000000001
21497,FANCY FONTS BIRTHDAY WRAP,17575,23.81,89.84489106756251,392,559,725,20.21,533,7009.5
22585,PACK OF 6 BIRDY GIFT TAGS,17551,23.78,64.94364890408319,284,450,617,20.19,425,20854.88
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,17294,23.43,85.86179833771304,375,539,703,19.89,514,47240.020000000004
22029,SPACE BOY BIRTHDAY CARD,17291,23.43,45.73959232066596,200,364,528,19.89,339,6894.8
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,17266,23.4,285.7930599620251,1248,1412,1576,19.87,1387,18828.98
22489,PACK OF 12 TRADITIONAL CRAYONS,17244,23.37,71.49235549462375,312,476,639,19.84,451,6954.45
21791,VINTAGE HEADS AND TAILS CARD GAME ,17143,23.23,82.35961790657723,360,523,685,19.72,498,20204.53
21704,BAG 250g SWIRLY MARBLES,16938,22.95,169.1588770227812,738,899,1059,19.48,874,12838.08
22356,"CHARLOTTE BAG , PINK/WHITE SPOTS",16711,22.64,46.21165302623431,202,360,519,19.22,337,13398.09
22294,HEART FILIGREE DOVE  SMALL,16698,22.63,59.57214906894107,260,418,577,19.21,394,20234.1
16156S,WRAP PINK FAIRY CAKES ,16686,22.61,81.24883420542749,355,513,672,19.2,489,6569.12
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,16657,22.57,53.74949489761291,235,393,551,19.16,369,15443.210000000001
22961,JAM MAKING SET PRINTED,16617,22.52,84.9818481067192,371,529,686,19.12,505,23416.449999999997
22385,JUMBO BAG SPACEBOY DESIGN,16545,22.42,61.34891625881595,268,425,582,19.03,401,30096.57
21088,SET/6 FRUIT SALAD PAPER CUPS,16503,22.36,1077.5691382657624,4704,4861,5017,18.98,4837,1723.3300000000002
85152,HAND OVER THE CHOCOLATE   SIGN ,16404,22.23,52.429783804238,229,385,540,18.87,361,31138.050000000003
22077,6 RIBBONS RUSTIC CHARM,16284,22.07,37.21185118164884,162,316,471,18.74,293,27457.34
21086,SET/6 RED SPOTTY PAPER CUPS,16070,21.78,74.91441788773241,327,479,632,18.49,456,9666.7
21500,PINK SPOTS  WRAP ,16050,21.75,46.743897530969065,204,356,508,18.47,333,6479.0
22659,LUNCHBOX I LOVE LONDON,16047,21.74,91.03106477481437,397,549,701,18.46,526,28121.77
20712,JUMBO BAG WOODLAND ANIMALS,15929,21.58,54.77558964398738,239,390,541,18.32,367,29504.5
82482,WOODEN PICTURE FRAME WHITE FINISH,15919,21.57,38.76363019568864,169,320,471,18.31,297,37679.600000000006
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,15872,21.51,106.77977674035807,466,617,767,18.26,594,12525.56
21096,SET/6 FRUIT SALAD  PAPER PLATES,15781,21.38,1091.6524377076648,4766,4916,5065,18.15,4893,2576.59
79321,CHILLI LIGHTS,15735,21.32,72.21457839217977,315,464,613,18.1,442,72860.14
21967,PACK OF 12 SKULL TISSUES,15702,21.28,352.1778021830595,1537,1686,1835,18.07,1663,4319.76
85175,CACTI T-LIGHT CANDLES,15654,21.21,68.20850270968592,298,446,595,18.01,424,6275.96
40016,CHINESE DRAGON PAPER LANTERNS,15559,21.08,171.2088382196769,747,895,1042,17.9,872,5069.48
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,15489,20.99,111.04097019229842,485,632,779,17.82,610,45034.37
21121,SET/10 RED SPOTTY PARTY CANDLES,15465,20.96,63.4089196247798,277,424,570,17.79,402,18546.93
21499,BLUE SPOTS  WRAP,15425,20.9,53.007385618867076,231,377,524,17.74,355,6196.5
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,15343,20.79,61.952369782331246,270,416,561,17.65,394,17543.0
22090,PAPER BUNTING RETRO SPOTS,15333,20.78,45.63034970373312,199,344,490,17.64,322,41953.19
16033,MINI HIGHLIGHTER PENS,15001,20.33,567.9815600222005,2480,2622,2765,17.26,2601,1530.12
22551,PLASTERS IN TIN SPACEBOY,14951,20.26,48.538937508882974,212,354,496,17.2,332,23736.149999999998
22326,"ROUND SNACK BOXES ,SET4, WOODLAND ",14921,20.22,51.602374681138805,225,367,508,17.17,345,41078.270000000004
21210,SET OF 72 RETRO SPOT PAPER  DOILIES,14858,20.13,47.74446705920466,208,349,490,17.09,328,20761.27
22560,TRADITIONAL MODELLING CLAY,14773,20.02,71.83902503067257,314,454,594,17.0,433,17279.14
21787,RAIN PONCHO WITH RED SPOTS,14752,19.99,168.8636372532122,737,877,1017,16.97,856,11414.08
82494L,WOODEN FRAME ANTIQUE WHITE ,14707,19.93,27.612575835474214,121,261,400,16.92,239,40870.82000000001
20723,STRAWBERRY CHARLOTTE BAG,14654,19.86,38.67971324521331,169,308,447,16.86,287,11750.0
22865,HAND WARMER OWL DESIGN,14623,19.81,91.23420113792932,398,537,675,16.82,516,29433.430000000004
22969,HOMEMADE JAM SCENTED CANDLES,14588,19.77,125.0844097352805,546,684,823,16.78,663,21020.8
22045,SPACE BOY GIFT WRAP,14542,19.7,50.21614997530382,219,357,495,16.73,336,5981.64
22457,NATURAL SLATE HEART CHALKBOARD ,14508,19.66,41.80531684149337,183,321,458,16.69,300,41203.920000000006
22379,RECYCLING BAG RETROSPOT ,14507,19.66,70.39978702049689,307,445,582,16.69,424,28377.08
21703,BAG 125g SWIRLY MARBLES,14501,19.65,104.74313274278693,457,595,732,16.68,574,5505.13
21829,DINOSAUR KEYRINGS ASSORTED,14396,19.51,52.20362144767904,228,365,501,16.56,344,2982.87
21976,PACK OF 60 MUSHROOM CAKE CASES,14289,19.36,67.55723095936972,295,431,566,16.44,410,7203.429999999999
21918,SET 12 KIDS COLOUR  CHALK STICKS,14255,19.32,86.29752608497766,377,512,647,16.4,492,5735.38
22328,"ROUND SNACK BOXES ,SET 4, FRUITS ",14108,19.12,144.47650139098613,631,765,899,16.23,745,38214.64
21877,HOME SWEET HOME MUG,13987,18.95,101.81363567292722,444,577,709,16.09,557,15564.11
23199,JUMBO BAG APPLES,13887,18.82,109.14099822730384,476,608,739,15.98,588,26451.260000000002
22558,CLOTHES PEGS RETROSPOT PACK 24 ,13869,18.79,47.38030304062689,207,339,470,15.95,319,19029.01
21085,SET/6 WOODLAND PAPER CUPS,13713,18.58,1856.541035890763,8105,8235,8365,15.77,8215,1843.7700000000002
21091,SET/6 WOODLAND PAPER PLATES,13668,18.52,2402.5183380220055,10488,10618,10747,15.72,10598,1817.16
75049L,LARGE CIRCULAR MIRROR MOBILE,13590,18.41,115.4368546115035,504,633,762,15.63,613,12203.5
21099,SET/6 STRAWBERRY PAPER CUPS,13382,18.13,2538.6233871014542,11082,11209,11336,15.39,11190,1570.3
22556,PLASTERS IN TIN CIRCUS PARADE ,13317,18.04,56.99296574666194,249,375,502,15.32,356,21288.41
16161P,WRAP ENGLISH ROSE ,13298,18.02,44.28490001677804,193,319,445,15.3,300,5477.4
22297,HEART IVORY TRELLIS SMALL,13182,17.86,47.34144755547322,207,332,457,15.16,313,16140.34
21986,PACK OF 12 PINK SPOT TISSUES ,13154,17.82,187.26439954722488,818,943,1067,15.13,924,4483.94
22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,13136,17.8,78.92937682133578,345,470,594,15.11,451,6265.679999999999
22083,PAPER CHAIN KIT RETRO SPOT,13116,17.77,48.42152514877339,211,335,460,15.09,317,35924.86
37340,MULTICOLOUR SPRING FLOWER MUG,13093,17.74,763.1593934122141,3332,3456,3580,15.06,3437,2547.81
22554,PLASTERS IN TIN WOODLAND ANIMALS,13071,17.71,39.292933605386516,172,296,420,15.04,277,20879.23
23209,LUNCH BAG DOILEY PATTERN ,13004,17.62,65.66354600724196,287,410,534,14.96,392,20817.56
20974,12 PENCILS SMALL TUBE SKULL,12961,17.56,57.66582311249441,252,375,498,14.91,356,8219.45
22147,FELTCRAFT BUTTERFLY HEARTS,12930,17.52,70.51894241765103,308,431,553,14.87,412,17689.3
22740,POLKA DOT PEN,12887,17.46,130.60628935584376,570,692,814,14.82,674,10623.23
21092,SET/6 STRAWBERRY PAPER PLATES,12806,17.35,3022.0143481770956,13193,13314,13436,14.73,13296,1504.94
82580,BATHROOM METAL SIGN,12722,17.24,46.49856888489684,203,324,444,14.64,305,6754.26
22030,SWALLOWS GREETING CARD,12664,17.16,68.43930925022246,299,419,539,14.57,401,5084.13
21122,SET/10 PINK SPOTTY PARTY CANDLES,12632,17.12,52.343516446039274,229,349,469,14.53,331,15225.77
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,12622,17.1,280.5606910927726,1225,1345,1464,14.52,1327,23534.52
82600,NO SINGING METAL SIGN,12609,17.09,49.972459112373095,218,338,457,14.51,320,25034.340000000004
22866,HAND WARMER SCOTTY DOG DESIGN,12554,17.01,86.56264377241274,378,497,616,14.44,479,25251.36
21930,JUMBO STORAGE BAG SKULLS,12544,17.0,36.45607900740872,159,278,397,14.43,260,23232.89
23201,JUMBO BAG ALPHABET,12540,16.99,87.64389124779325,383,502,621,14.42,484,24175.0
22534,MAGIC DRAWING SLATE SPACEBOY ,12522,16.97,89.41832849229361,390,509,628,14.41,491,5051.88
22595,CHRISTMAS GINGHAM HEART,12520,16.96,122.22403609321162,534,653,771,14.4,635,10176.34
21495,SKULLS WRAP,12465,16.89,40.70413748291773,178,296,414,14.34,278,5119.3
22867,HAND WARMER BIRD DESIGN,12458,16.88,94.234293277892,411,529,647,14.33,511,25071.13
22188,BLACK HEART CARD HOLDER,12382,16.78,248.38312754883592,1084,1201,1319,14.25,1184,32379.54
22699,ROSES REGENCY TEACUP AND SAUCER ,12374,16.77,58.457043777399676,255,372,490,14.24,355,33662.700000000004
22149,FELTCRAFT 6 FLOWER FRIENDS,12373,16.77,56.407254894710775,246,363,481,14.24,346,24656.19
22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,12369,16.76,93.73549913533826,409,526,644,14.23,509,5493.37
20718,RED SPOTTY SHOPPER BAG,12336,16.72,43.65065111515604,191,308,425,14.2,290,14460.51
22418,10 COLOUR SPACEBOY PEN,12308,16.68,46.5909588184742,203,320,437,14.16,302,10231.699999999999
22610,PENS ASSORTED FUNNY FACE,12242,16.59,118.16269970885257,516,632,748,14.08,615,4802.42
85220,SMALL FAIRY CAKE FRIDGE MAGNETS,12236,16.58,4055.870214886073,17706,17822,17938,14.08,17805,6875.0
21889,WOODEN BOX OF DOMINOES,12193,16.52,47.381062473085166,207,323,438,14.03,305,14877.12
21914,BLUE HARMONICA IN BOX ,12159,16.48,41.59166945669161,182,297,413,13.99,280,15078.72
17084R,ASSORTED INCENSE PACK,12137,16.45,417.10119693204297,1821,1936,2051,13.97,1919,2213.97
22348,TEA BAG PLATE RED SPOTTY ,11984,16.24,56.56324263335142,247,361,474,13.79,344,9739.46
82583,HOT BATHS METAL SIGN,11978,16.23,51.25955484673269,224,338,451,13.78,320,23390.22
84949,SILVER HANGING T-LIGHT HOLDER,11965,16.21,52.64903893688295,230,343,457,13.76,326,18517.05
23310,BUBBLEGUM RING ASSORTED,11891,16.11,113.47301510944271,495,608,721,13.68,591,4894.83
22467,GUMBALL COAT RACK,11852,16.06,43.79672860803295,191,303,416,13.63,286,27051.530000000002
21891,TRADITIONAL WOODEN SKIPPING ROPE,11833,16.03,79.1994409096441,346,458,570,13.61,441,14745.53
22993,SET OF 4 PANTRY JELLY MOULDS,11792,15.98,48.62079953927348,212,324,436,13.57,307,14180.17
22998,TRAVEL CARD WALLET KEEP CALM,11769,15.95,103.6150331507109,452,564,675,13.54,547,4693.4
23307,SET OF 60 PANTRY DESIGN CAKE CASES ,11675,15.82,101.80938862147751,444,555,665,13.43,538,5982.09
22555,PLASTERS IN TIN STRONGMAN,11625,15.75,59.58910591588181,260,370,480,13.37,354,18597.29
79000,MOROCCAN TEA GLASS,11609,15.73,68.24023837615518,298,408,518,13.35,391,8633.81
23206,LUNCH BAG APPLE DESIGN,11565,15.67,65.46750984748513,286,396,505,13.3,379,18278.25
85110,BLACK SILVER FLOWER T-LIGHT HOLDER,11512,15.6,1541.2618302584947,6728,6837,6946,13.24,6821,1124.68
20711,JUMBO BAG TOYS ,11469,15.54,64.79630326407027,283,392,501,13.19,375,20532.63
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,11361,15.39,713.4057712112112,3114,3222,3329,13.07,3205,1021.86
22561,WOODEN SCHOOL COLOURING SET,11292,15.3,41.943220362735,183,290,397,12.99,274,18082.32
21871,SAVE THE PLANET MUG,11277,15.28,82.78650976054915,361,468,575,12.97,452,12722.380000000001
84378,SET OF 3 HEART COOKIE CUTTERS,11135,15.09,48.03467103530833,210,316,421,12.81,300,14022.84
15056N,EDWARDIAN PARASOL NATURAL,11027,14.94,57.77938735876523,252,357,461,12.68,341,54741.46
22632,HAND WARMER RED POLKA DOT,11025,14.94,177.76429003368062,776,881,985,12.68,865,21869.22
22027,TEA PARTY BIRTHDAY CARD,10964,14.86,31.29569711794863,137,241,345,12.62,225,4461.17
20993,JAZZ HEARTS MEMO PAD,10945,14.83,2026.406711868267,8846,8950,9054,12.59,8934,1305.49
82484,WOOD BLACK BOARD ANT WHITE FINISH,10893,14.76,115.4617368484311,504,607,711,12.53,592,60513.09
22951,72 CAKE CASES DOLLY GIRL DESIGN,10877,14.74,67.0200244260346,293,396,499,12.51,381,5564.71
21506,"FANCY FONT BIRTHDAY CARD, ",10838,14.69,51.01853296394592,223,326,429,12.47,310,4351.8
35961,FOLKART ZINC HEART CHRISTMAS DEC,10734,14.54,98.7880731829945,431,533,635,12.34,517,8300.22
23202,JUMBO BAG VINTAGE LEAF,10716,14.52,63.60434614994489,278,380,481,12.33,364,20963.93
21390,FILIGRIS HEART WITH BUTTERFLY,10710,14.51,46.72472489468476,204,306,407,12.32,290,12959.14
21314,SMALL GLASS HEART TRINKET POT,10603,14.37,60.00150411884351,262,363,463,12.2,347,20903.86
16047,POP ART PEN CASE & PENS,10589,14.35,1555.8985797526104,6792,6892,6993,12.18,6877,1017.2900000000001
21916,SET 12 RETRO WHITE CHALK STICKS,10549,14.29,59.28448861718092,259,359,459,12.13,344,4267.42
21136,PAINTED METAL PEARS ASSORTED,10410,14.11,37.058456474719904,162,261,360,11.98,246,17169.46
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,10385,14.07,43.55326043194556,190,288,387,11.95,274,38462.37
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,10377,14.06,33.85620254479081,148,246,345,11.94,232,12465.37
22741,FUNKY DIVA PEN,10345,14.02,53.288340713235165,233,331,429,11.9,316,8712.91
22112,CHOCOLATE HOT WATER BOTTLE,10326,13.99,31.607458457289855,138,236,334,11.88,221,47555.840000000004
21385,IVORY HANGING DECORATION  HEART,10301,13.96,50.019890500303816,218,316,413,11.85,301,8456.33
84029E,RED WOOLLY HOTTIE WHITE HEART.,10299,13.96,84.43090570111406,369,467,564,11.85,452,35261.07
16237,SLEEPING CAT ERASERS,10254,13.89,60.208766859109176,263,360,457,11.79,346,2051.34
84050,PINK HEART SHAPE EGG FRYING PAN,10206,13.83,65.66340919594847,287,384,481,11.74,369,14163.98
22139,RETRO SPOT TEA SET CERAMIC 11 PC ,10107,13.7,26.332043096029263,115,211,307,11.63,196,47787.6
22536,MAGIC DRAWING SLATE PURDEY,10090,13.67,103.09089721298848,450,546,641,11.61,531,3924.6
21669,BLUE STRIPE CERAMIC DRAWER KNOB,10073,13.65,33.87654531004615,148,244,339,11.59,229,12338.81
22557,PLASTERS IN TIN VINTAGE PAISLEY ,10067,13.64,44.141616839521824,193,288,384,11.58,274,16010.59
16161U,"WRAP,SUKI AND FRIENDS",10051,13.62,54.0609256220683,236,331,427,11.56,317,4095.42
21124,SET/10 BLUE SPOTTY PARTY CANDLES,10026,13.59,42.029162016389726,183,278,373,11.54,264,12131.22
48138,DOOR MAT UNION FLAG,9974,13.51,38.88466260105418,170,265,359,11.47,250,64973.98
16046,TEATIME PEN CASE & PENS,9954,13.49,989.7297487747633,4321,4415,4510,11.45,4401,1047.78
22333,RETRO SPORT PARTY BAG + STICKER SET,9938,13.47,63.01995254767801,275,369,464,11.44,355,15245.779999999999
15034,PAPER POCKET TRAVELING FAN ,9928,13.45,153.024630693308,668,762,856,11.42,748,1171.5200000000002
22662,LUNCH BAG DOLLY GIRL DESIGN,9827,13.32,37.8063921075191,165,258,351,11.31,244,15489.99
22530,MAGIC DRAWING SLATE DOLLY GIRL ,9824,13.31,94.60311384426326,413,506,599,11.3,492,3937.44
22666,RECIPE BOX PANTRY YELLOW DESIGN,9807,13.29,49.05809695106921,214,307,400,11.28,293,27804.370000000003
M,Manual,9803,13.28,134.99810817200094,589,682,775,11.27,668,152340.57
22959,WRAP CHRISTMAS VILLAGE,9738,13.2,73.4867184709397,321,413,506,11.21,399,3981.96
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,9673,13.11,35.43544642056235,155,247,339,11.13,233,11920.3
22296,HEART IVORY TRELLIS LARGE,9666,13.1,35.62118542474168,156,248,339,11.12,234,15630.58
23077,DOUGHNUT LIP GLOSS ,9662,13.09,71.87711613162814,314,406,497,11.11,392,11640.7
20676,RED SPOTTY BOWL,9598,13.01,29.915537186434058,131,222,313,11.05,208,11203.130000000001
